Order_Date,Orders,Quantity,Gross_Amount,Realized_Revenue
2022-03-31,171,156,101683.85,94183.0
2022-04-01,1470,1319,865478.6,767000.0
2022-04-02,1555,1408,913101.53,804455.0
2022-04-03,1691,1544,1011763.38,911517.0
2022-04-04,1465,1331,882059.17,802665.0
2022-04-05,1617,1486,950544.05,860601.0
2022-04-06,1557,1439,886985.26,796326.0
2022-04-07,1535,1377,909899.35,804152.0
2022-04-08,1678,1519,1018617.61,907514.0
2022-04-09,1619,1471,972076.48,858859.0
2022-04-10,1754,1619,1075234.03,964543.0
2022-04-11,1562,1396,949559.27,833704.0
2022-04-12,1451,1301,887194.03,772540.0
2022-04-13,1651,1479,977017.3,872149.0
2022-04-14,1883,1695,1113487.56,1008387.0
2022-04-15,1853,1620,1024542.13,909660.0
2022-04-16,1759,1538,1010056.23,879483.0
2022-04-17,1604,1445,940843.9,821728.0
2022-04-18,1568,1397,885403.46,790274.0
2022-04-19,1678,1495,960055.36,863584.0
2022-04-20,1850,1696,1091926.41,988163.0
2022-04-21,1746,1553,971966.58,872087.0
2022-04-22,1657,1499,978033.62,867165.0
2022-04-23,1816,1665,1093536.62,957244.0
2022-04-24,1810,1628,1082483.95,974271.0
2022-04-25,1665,1472,977764.88,843736.0
2022-04-26,1563,1392,910749.81,810294.0
2022-04-27,1459,1294,850676.58,736721.0
2022-04-28,1416,1309,838362.09,751877.0
2022-04-29,1466,1310,839654.65,751385.0
2022-04-30,1669,1509,969634.43,887163.0
2022-05-01,1809,1661,1079957.52,993158.0
2022-05-02,2079,1889,1172327.06,1065508.0
2022-05-03,2085,1863,1190672.59,1076997.0
2022-05-04,2015,1811,1209364.17,1094989.0
2022-05-05,1467,1325,894704.17,805545.0
2022-05-06,1386,1283,909530.13,833418.0
2022-05-07,1433,1323,911693.76,819961.0
2022-05-08,1472,1322,902173.06,789657.0
2022-05-09,1309,1191,810945.89,713374.0
2022-05-10,1186,1055,723616.88,628925.0
2022-05-11,1180,1038,740395.52,650918.0
2022-05-12,1107,996,693445.93,620424.0
2022-05-13,1117,990,736609.76,627825.0
2022-05-14,1210,1067,768171.9,669930.0
2022-05-15,1410,1244,894645.67,771745.0
2022-05-16,1201,1065,763146.91,659925.0
2022-05-17,1200,1067,764918.63,655891.0
2022-05-18,1264,1100,797542.08,702897.0
2022-05-19,1207,1091,778026.25,696643.0
2022-05-20,1103,986,704908.01,626774.0
2022-05-21,1091,983,697790.62,614413.0
2022-05-22,1214,1110,777552.83,699548.0
2022-05-23,1186,1074,755930.56,680660.0
2022-05-24,1220,1116,759458.39,696084.0
2022-05-25,1283,1178,819478.34,740534.0
2022-05-26,1214,1119,767619.6,699203.0
2022-05-27,1294,1185,813334.57,747304.0
2022-05-28,1347,1252,850986.6,784103.0
2022-05-29,1303,1197,816996.49,746840.0
2022-05-30,1258,1154,817463.77,743741.0
2022-05-31,1390,1276,903069.09,814250.0
2022-06-01,1523,1375,935430.21,836498.0
2022-06-02,1412,1279,896672.82,800693.0
2022-06-03,1228,1117,738190.19,661839.0
2022-06-04,1437,1353,892476.1,808989.0
2022-06-05,1586,1452,989093.03,886804.0
2022-06-06,1533,1413,955276.13,861469.0
2022-06-07,1535,1409,965557.26,867637.0
2022-06-08,1590,1430,965472.09,847229.0
2022-06-09,1568,1405,959183.09,851832.0
2022-06-10,1271,1163,798796.94,719933.0
2022-06-11,1369,1267,863796.34,775280.0
2022-06-12,1575,1427,955246.82,871294.0
2022-06-13,1396,1257,877674.46,774902.0
2022-06-14,1429,1316,899234.01,805974.0
2022-06-15,1260,1124,785089.32,703763.0
2022-06-16,1253,1155,778813.5,717921.0
2022-06-17,1167,1050,747349.1,668543.0
2022-06-18,1193,1069,741802.38,651827.0
2022-06-19,1181,1055,729840.6,631485.0
2022-06-20,1235,1104,756764.91,670748.0
2022-06-21,1319,1167,804470.44,700051.0
2022-06-22,1304,1173,778915.31,706867.0
2022-06-23,1090,965,654729.48,581061.0
2022-06-24,1028,935,630349.29,563641.0
2022-06-25,1026,940,654234.58,599239.0
2022-06-26,1210,1122,773610.02,706313.0
2022-06-27,1111,1023,714124.67,656671.0
2022-06-28,1210,1104,772085.53,712159.0
2022-06-29,658,627,411530.76,410426.0
