Ship_State,Orders,Quantity,Gross_Amount,Realized_Revenue,Cancelled_Orders,Cancellation_Rate_Pct,Realization_Rate_Pct
Maharashtra,22260,20328,13335534.14,12054937.0,2966,13.32,90.4
Karnataka,17326,15901,10481114.37,9522813.0,2245,12.96,90.86
Telangana,11330,10253,6916615.65,6184512.0,1634,14.42,89.42
Uttar Pradesh,10638,9499,6816642.08,6023643.0,1604,15.08,88.37
Tamil Nadu,11483,10412,6515650.11,5860646.0,1594,13.88,89.95
Delhi,7048,6398,4393522.41,3981565.0,922,13.08,90.62
Kerala,6585,5813,3830227.58,3327231.0,1175,17.84,86.87
West Bengal,5963,5318,3507880.44,3125170.0,884,14.82,89.09
Andhra Pradesh,5430,4819,3219831.72,2823852.0,892,16.43,87.7
Haryana,4415,4066,2882092.99,2602935.0,563,12.75,90.31
Gujarat,4489,4149,2728651.82,2449995.0,591,13.17,89.79
Rajasthan,2718,2432,1761131.16,1578100.0,375,13.8,89.61
Madhya Pradesh,2529,2260,1592382.98,1425300.0,380,15.03,89.51
Bihar,2114,1875,1415613.32,1234054.0,341,16.13,87.17
Odisha,2139,1911,1386372.39,1198647.0,346,16.18,86.46
Punjab,1919,1744,1211666.84,1094316.0,247,12.87,90.31
Assam,1663,1483,1018136.2,878153.0,248,14.91,86.25
Uttarakhand,1553,1385,974143.55,859924.0,234,15.07,88.27
Jharkhand,1456,1284,919088.21,799341.0,231,15.87,86.97
Goa,1137,1055,637685.85,587796.0,130,11.43,92.18
Chhattisgarh,909,822,570485.83,506403.0,126,13.86,88.77
Himachal Pradesh,788,675,503364.51,434335.0,146,18.53,86.29
Jammu and Kashmir,702,617,456932.74,395307.0,119,16.95,86.51
Manipur,316,294,213981.99,199977.0,36,11.39,93.46
Chandigarh,333,304,211740.67,191212.0,36,10.81,90.3
Puducherry,351,310,192573.24,173737.0,52,14.81,90.22
Andaman and Nicobar Islands,257,226,158723.62,132293.0,45,17.51,83.35
Nagaland,187,183,145055.67,125635.0,22,11.76,86.61
Sikkim,205,182,140828.66,124008.0,31,15.12,88.06
Meghalaya,207,184,119871.81,101899.0,34,16.43,85.01
Arunachal Pradesh,147,135,98265.0,85544.0,20,13.61,87.05
Tripura,151,134,92548.4,81614.0,22,14.57,88.19
Dadra and Nagar Haveli and Daman and Diu,70,58,42138.92,36762.0,12,17.14,87.24
Mizoram,76,69,41948.71,33808.0,14,18.42,80.59
Ladakh,43,40,38388.43,32785.0,6,13.95,85.4
Unknown/Not Provided,33,28,18671.0,15012.0,7,21.21,80.4
Lakshadweep,4,3,3175.29,2441.0,1,25.0,76.87
Unknown/Other,1,0,0.0,0.0,1,100.0,
