Date,Date_Key,Year,Quarter,Month_Number,Month_Name,Month_Year,Week_Number,Day_Of_Month,Day_Of_Week,Day_Name,Is_Weekend
2022-03-31,20220331,2022,Q1,3,March,Mar 2022,13,31,4,Thursday,False
2022-04-01,20220401,2022,Q2,4,April,Apr 2022,13,1,5,Friday,False
2022-04-02,20220402,2022,Q2,4,April,Apr 2022,13,2,6,Saturday,True
2022-04-03,20220403,2022,Q2,4,April,Apr 2022,13,3,7,Sunday,True
2022-04-04,20220404,2022,Q2,4,April,Apr 2022,14,4,1,Monday,False
2022-04-05,20220405,2022,Q2,4,April,Apr 2022,14,5,2,Tuesday,False
2022-04-06,20220406,2022,Q2,4,April,Apr 2022,14,6,3,Wednesday,False
2022-04-07,20220407,2022,Q2,4,April,Apr 2022,14,7,4,Thursday,False
2022-04-08,20220408,2022,Q2,4,April,Apr 2022,14,8,5,Friday,False
2022-04-09,20220409,2022,Q2,4,April,Apr 2022,14,9,6,Saturday,True
2022-04-10,20220410,2022,Q2,4,April,Apr 2022,14,10,7,Sunday,True
2022-04-11,20220411,2022,Q2,4,April,Apr 2022,15,11,1,Monday,False
2022-04-12,20220412,2022,Q2,4,April,Apr 2022,15,12,2,Tuesday,False
2022-04-13,20220413,2022,Q2,4,April,Apr 2022,15,13,3,Wednesday,False
2022-04-14,20220414,2022,Q2,4,April,Apr 2022,15,14,4,Thursday,False
2022-04-15,20220415,2022,Q2,4,April,Apr 2022,15,15,5,Friday,False
2022-04-16,20220416,2022,Q2,4,April,Apr 2022,15,16,6,Saturday,True
2022-04-17,20220417,2022,Q2,4,April,Apr 2022,15,17,7,Sunday,True
2022-04-18,20220418,2022,Q2,4,April,Apr 2022,16,18,1,Monday,False
2022-04-19,20220419,2022,Q2,4,April,Apr 2022,16,19,2,Tuesday,False
2022-04-20,20220420,2022,Q2,4,April,Apr 2022,16,20,3,Wednesday,False
2022-04-21,20220421,2022,Q2,4,April,Apr 2022,16,21,4,Thursday,False
2022-04-22,20220422,2022,Q2,4,April,Apr 2022,16,22,5,Friday,False
2022-04-23,20220423,2022,Q2,4,April,Apr 2022,16,23,6,Saturday,True
2022-04-24,20220424,2022,Q2,4,April,Apr 2022,16,24,7,Sunday,True
2022-04-25,20220425,2022,Q2,4,April,Apr 2022,17,25,1,Monday,False
2022-04-26,20220426,2022,Q2,4,April,Apr 2022,17,26,2,Tuesday,False
2022-04-27,20220427,2022,Q2,4,April,Apr 2022,17,27,3,Wednesday,False
2022-04-28,20220428,2022,Q2,4,April,Apr 2022,17,28,4,Thursday,False
2022-04-29,20220429,2022,Q2,4,April,Apr 2022,17,29,5,Friday,False
2022-04-30,20220430,2022,Q2,4,April,Apr 2022,17,30,6,Saturday,True
2022-05-01,20220501,2022,Q2,5,May,May 2022,17,1,7,Sunday,True
2022-05-02,20220502,2022,Q2,5,May,May 2022,18,2,1,Monday,False
2022-05-03,20220503,2022,Q2,5,May,May 2022,18,3,2,Tuesday,False
2022-05-04,20220504,2022,Q2,5,May,May 2022,18,4,3,Wednesday,False
2022-05-05,20220505,2022,Q2,5,May,May 2022,18,5,4,Thursday,False
2022-05-06,20220506,2022,Q2,5,May,May 2022,18,6,5,Friday,False
2022-05-07,20220507,2022,Q2,5,May,May 2022,18,7,6,Saturday,True
2022-05-08,20220508,2022,Q2,5,May,May 2022,18,8,7,Sunday,True
2022-05-09,20220509,2022,Q2,5,May,May 2022,19,9,1,Monday,False
2022-05-10,20220510,2022,Q2,5,May,May 2022,19,10,2,Tuesday,False
2022-05-11,20220511,2022,Q2,5,May,May 2022,19,11,3,Wednesday,False
2022-05-12,20220512,2022,Q2,5,May,May 2022,19,12,4,Thursday,False
2022-05-13,20220513,2022,Q2,5,May,May 2022,19,13,5,Friday,False
2022-05-14,20220514,2022,Q2,5,May,May 2022,19,14,6,Saturday,True
2022-05-15,20220515,2022,Q2,5,May,May 2022,19,15,7,Sunday,True
2022-05-16,20220516,2022,Q2,5,May,May 2022,20,16,1,Monday,False
2022-05-17,20220517,2022,Q2,5,May,May 2022,20,17,2,Tuesday,False
2022-05-18,20220518,2022,Q2,5,May,May 2022,20,18,3,Wednesday,False
2022-05-19,20220519,2022,Q2,5,May,May 2022,20,19,4,Thursday,False
2022-05-20,20220520,2022,Q2,5,May,May 2022,20,20,5,Friday,False
2022-05-21,20220521,2022,Q2,5,May,May 2022,20,21,6,Saturday,True
2022-05-22,20220522,2022,Q2,5,May,May 2022,20,22,7,Sunday,True
2022-05-23,20220523,2022,Q2,5,May,May 2022,21,23,1,Monday,False
2022-05-24,20220524,2022,Q2,5,May,May 2022,21,24,2,Tuesday,False
2022-05-25,20220525,2022,Q2,5,May,May 2022,21,25,3,Wednesday,False
2022-05-26,20220526,2022,Q2,5,May,May 2022,21,26,4,Thursday,False
2022-05-27,20220527,2022,Q2,5,May,May 2022,21,27,5,Friday,False
2022-05-28,20220528,2022,Q2,5,May,May 2022,21,28,6,Saturday,True
2022-05-29,20220529,2022,Q2,5,May,May 2022,21,29,7,Sunday,True
2022-05-30,20220530,2022,Q2,5,May,May 2022,22,30,1,Monday,False
2022-05-31,20220531,2022,Q2,5,May,May 2022,22,31,2,Tuesday,False
2022-06-01,20220601,2022,Q2,6,June,Jun 2022,22,1,3,Wednesday,False
2022-06-02,20220602,2022,Q2,6,June,Jun 2022,22,2,4,Thursday,False
2022-06-03,20220603,2022,Q2,6,June,Jun 2022,22,3,5,Friday,False
2022-06-04,20220604,2022,Q2,6,June,Jun 2022,22,4,6,Saturday,True
2022-06-05,20220605,2022,Q2,6,June,Jun 2022,22,5,7,Sunday,True
2022-06-06,20220606,2022,Q2,6,June,Jun 2022,23,6,1,Monday,False
2022-06-07,20220607,2022,Q2,6,June,Jun 2022,23,7,2,Tuesday,False
2022-06-08,20220608,2022,Q2,6,June,Jun 2022,23,8,3,Wednesday,False
2022-06-09,20220609,2022,Q2,6,June,Jun 2022,23,9,4,Thursday,False
2022-06-10,20220610,2022,Q2,6,June,Jun 2022,23,10,5,Friday,False
2022-06-11,20220611,2022,Q2,6,June,Jun 2022,23,11,6,Saturday,True
2022-06-12,20220612,2022,Q2,6,June,Jun 2022,23,12,7,Sunday,True
2022-06-13,20220613,2022,Q2,6,June,Jun 2022,24,13,1,Monday,False
2022-06-14,20220614,2022,Q2,6,June,Jun 2022,24,14,2,Tuesday,False
2022-06-15,20220615,2022,Q2,6,June,Jun 2022,24,15,3,Wednesday,False
2022-06-16,20220616,2022,Q2,6,June,Jun 2022,24,16,4,Thursday,False
2022-06-17,20220617,2022,Q2,6,June,Jun 2022,24,17,5,Friday,False
2022-06-18,20220618,2022,Q2,6,June,Jun 2022,24,18,6,Saturday,True
2022-06-19,20220619,2022,Q2,6,June,Jun 2022,24,19,7,Sunday,True
2022-06-20,20220620,2022,Q2,6,June,Jun 2022,25,20,1,Monday,False
2022-06-21,20220621,2022,Q2,6,June,Jun 2022,25,21,2,Tuesday,False
2022-06-22,20220622,2022,Q2,6,June,Jun 2022,25,22,3,Wednesday,False
2022-06-23,20220623,2022,Q2,6,June,Jun 2022,25,23,4,Thursday,False
2022-06-24,20220624,2022,Q2,6,June,Jun 2022,25,24,5,Friday,False
2022-06-25,20220625,2022,Q2,6,June,Jun 2022,25,25,6,Saturday,True
2022-06-26,20220626,2022,Q2,6,June,Jun 2022,25,26,7,Sunday,True
2022-06-27,20220627,2022,Q2,6,June,Jun 2022,26,27,1,Monday,False
2022-06-28,20220628,2022,Q2,6,June,Jun 2022,26,28,2,Tuesday,False
2022-06-29,20220629,2022,Q2,6,June,Jun 2022,26,29,3,Wednesday,False
