Geo_ID,Ship_City,Ship_State,Ship_Postal_Code,Ship_Country,Is_Valid_PIN
1,Mumbai,Maharashtra,400081,IN,True
2,Bengaluru,Karnataka,560085,IN,True
3,Navi Mumbai,Maharashtra,410210,IN,True
4,Puducherry,Puducherry,605008,IN,True
5,Chennai,Tamil Nadu,600073,IN,True
6,Ghaziabad,Uttar Pradesh,201102,IN,True
7,Chandigarh,Chandigarh,160036,IN,True
8,Hyderabad,Telangana,500032,IN,True
9,Hyderabad,Telangana,500008,IN,True
10,Chennai,Tamil Nadu,600041,IN,True
11,Noida,Uttar Pradesh,201303,IN,True
12,Amravati.,Maharashtra,444606,IN,True
13,Mumbai,Maharashtra,400053,IN,True
14,Guntakal,Andhra Pradesh,515801,IN,True
15,Jaipur,Rajasthan,302020,IN,True
16,New Delhi,Delhi,110074,IN,True
17,Gurgaon,Haryana,122004,IN,True
18,Bengaluru,Karnataka,560017,IN,True
19,Tiruchirappalli,Tamil Nadu,620018,IN,True
20,Bengaluru,Karnataka,560040,IN,True
21,Hyderabad,Telangana,500072,IN,True
22,Pune,Maharashtra,411044,IN,True
23,Tezpur,Assam,784001,IN,True
24,Ranchi,Jharkhand,834002,IN,True
25,Bilaspur,Chhattisgarh,495001,IN,True
26,Pune,Maharashtra,411052,IN,True
27,Bengaluru,Karnataka,560037,IN,True
28,Guwahati,Assam,781003,IN,True
29,Thiruvarur,Tamil Nadu,613704,IN,True
30,Lucknow,Uttar Pradesh,226010,IN,True
31,Visakhapatnam,Andhra Pradesh,530016,IN,True
32,Jeypur,Odisha,764001,IN,True
33,Hyderabad,Telangana,500028,IN,True
34,Lucknow,Uttar Pradesh,226016,IN,True
35,Chennai,Tamil Nadu,600033,IN,True
36,New Delhi,Delhi,110092,IN,True
37,Thiruvananthapuram,Kerala,695011,IN,True
38,Greater Noida,Uttar Pradesh,201306,IN,True
39,Jabalpur,Madhya Pradesh,482002,IN,True
40,Mumbai,Maharashtra,400092,IN,True
41,Lucknow,Uttar Pradesh,226017,IN,True
42,Mumbai,Maharashtra,400076,IN,True
43,Kolkata,West Bengal,700014,IN,True
44,Ongole,Andhra Pradesh,523001,IN,True
45,Secunderabad,Telangana,500017,IN,True
46,Hyderabad,Telangana,500062,IN,True
47,Kewalpur,Uttar Pradesh,271881,IN,True
48,Cuttack,Odisha,753012,IN,True
49,Badlapur,Maharashtra,421503,IN,True
50,Dimapur,Nagaland,797112,IN,True
51,Bengaluru,Karnataka,560047,IN,True
52,Bengaluru,Karnataka,560076,IN,True
53,Warangal,Telangana,506001,IN,True
54,Dhaulpur,Rajasthan,328024,IN,True
55,Guwahati,Assam,781029,IN,True
56,Bengaluru,Karnataka,560103,IN,True
57,Bengaluru,Karnataka,560023,IN,True
58,Nagpur,Maharashtra,440022,IN,True
59,Thane,Maharashtra,400607,IN,True
60,Dahod,Gujarat,389151,IN,True
61,Ranchi,Jharkhand,834004,IN,True
62,Pune,Maharashtra,411014,IN,True
63,Vijapura,Karnataka,586201,IN,True
64,Mumbai,Maharashtra,400080,IN,True
65,Bangalore,Karnataka,560001,IN,True
66,Bengaluru,Karnataka,560098,IN,True
67,Berhampur,Odisha,760002,IN,True
68,Hyderabad,Telangana,500085,IN,True
69,Pune,Maharashtra,411045,IN,True
70,Himmatnagar,Gujarat,383001,IN,True
71,Kolkata,West Bengal,700048,IN,True
72,Hyderabad,Telangana,502032,IN,True
73,Dehradun,Uttarakhand,248001,IN,True
74,Kolkata,West Bengal,700078,IN,True
75,Dharmapuri,Tamil Nadu,636705,IN,True
76,Dehradun,Uttarakhand,248005,IN,True
77,Jaipur,Rajasthan,303905,IN,True
78,Vadodara,Gujarat,390019,IN,True
79,Chavakkad,Kerala,680506,IN,True
80,Patna,Bihar,800026,IN,True
81,Chennai,Tamil Nadu,600028,IN,True
82,Vadodara,Gujarat,390018,IN,True
